"country","code","population_size","world_bank_economies","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_binary"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
"West Bank and Gaza","PSE",5101000,"Lower middle income",0,0.019,"Does not meet sequencing target"
